Year,Term,Course,Section,Cross listing 1,Cross listing 2,Cross listing 3,Gender,Age,Student Status,Major ,College ,Race,Ethnicity,Citizenship,Residency
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Asian,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,PLSC BIOL,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,AGST AGRO,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Black or African American,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,COM-AGRI-VET,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,AGST ENVHORT,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Male,,Undergraduate,SUSTAIN AG,AGNR,Hispanic,Hispanic Yes,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,AGST ENVHORT,AGNR,Two or More,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Two or More,Hispanic No,,
2020,Fall,ANSC101,101,,,,Female,,Undergraduate,AG BUS MGMT,AGNR,Unknown,Hispanic Unknown,,
